Wall time,Step,Value
1777114235.2505064,3600,-92.44589233398438
1777114267.3032064,7200,-108.23889923095703
1777114298.50873,10800,-84.53208923339844
1777114329.308231,14400,-98.23369598388672
1777114359.9028544,18000,-85.13849639892578
1777114390.5690691,21600,-91.03299713134766
1777114421.0428655,25200,-99.12899780273438
1777114451.8504987,28800,-76.41668701171875
1777114490.5863235,32400,-86.30830383300781
1777114548.4157336,36000,-102.82598876953125
1777114596.149464,39600,-75.41859436035156
1777114638.9143708,43200,-76.86750030517578
1777114679.553881,46800,-89.41419982910156
1777114718.9372876,50400,-76.35859680175781
1777114754.818274,54000,-87.2615966796875
1777114790.0333707,57600,-91.61149597167969
1777114825.7415133,61200,-84.48799133300781
1777114861.077965,64800,-78.95320129394531
1777114895.4061177,68400,-83.6708984375
1777114930.3820918,72000,-86.77120208740234
1777114964.9251695,75600,-72.8070068359375
1777114999.8361716,79200,-68.82308959960938
1777115035.7105339,82800,-77.48099517822266
1777115070.73211,86400,-77.71179962158203
1777115105.4359384,90000,-84.05500030517578
1777115140.3033054,93600,-83.05430603027344
1777115175.610171,97200,-85.30479431152344
1777115210.458373,100800,-72.98489379882812
1777115248.7538552,104400,-75.85589599609375
1777115292.196467,108000,-79.44549560546875
1777115338.198935,111600,-87.27588653564453
1777115382.6988988,115200,-72.45480346679688
1777115424.4288461,118800,-82.07219696044922
1777115459.245205,122400,-80.67770385742188
1777115494.2943575,126000,-63.855796813964844
1777115528.2616632,129600,-79.60409545898438
1777115562.4929125,133200,-75.77079772949219
1777115598.1670823,136800,-82.90969848632812
1777115633.4112608,140400,-74.16699981689453
1777115671.3897398,144000,-70.44280242919922
1777115726.398733,147600,-80.24179077148438
1777115764.2654848,151200,-62.066097259521484
1777115800.9499068,154800,-63.03139877319336
1777115836.207346,158400,-66.02849578857422
1777115871.6356804,162000,-63.490203857421875
1777115906.8159516,165600,-69.24340057373047
1777115942.1682985,169200,-64.9336929321289
1777115976.8749669,172800,-47.78079605102539
1777116012.0632548,176400,-59.00889587402344
1777116048.6692762,180000,-55.752296447753906
1777116084.109621,183600,-65.00920104980469
1777116129.3934648,187200,-57.29059982299805
1777116164.9488611,190800,-52.015995025634766
1777116200.402526,194400,-59.705501556396484
1777116236.7160325,198000,-54.3291015625
1777116271.6548579,201600,-62.8859977722168
1777116306.9134734,205200,-53.74729537963867
1777116342.518809,208800,-63.59699630737305
1777116377.52734,212400,-61.141693115234375
1777116412.6676805,216000,-43.9651985168457
1777116447.3910694,219600,-57.333099365234375
1777116482.1088169,223200,-47.94139862060547
1777116517.505682,226800,-49.740596771240234
1777116552.776694,230400,-59.166297912597656
1777116587.598169,234000,-51.370399475097656
1777116622.7684183,237600,-49.05390548706055
1777116658.2086935,241200,-48.50369644165039
1777116693.0072048,244800,-50.3760986328125
1777116728.073791,248400,-43.53340148925781
1777116763.157379,252000,-50.62099838256836
1777116798.0667415,255600,-50.91649627685547
1777116833.326123,259200,-44.29450225830078
1777116868.2531674,262800,-54.055904388427734
1777116903.7690656,266400,-53.175804138183594
1777116943.9754367,270000,-49.62820053100586
1777116994.79922,273600,-48.07969665527344
1777117043.8426635,277200,-55.73879623413086
1777117079.3838587,280800,-48.61769485473633
1777117129.9358659,284400,-48.470497131347656
1777117168.8063903,288000,-48.4866943359375
1777117205.3879232,291600,-45.359405517578125
1777117241.8749714,295200,-44.47169494628906
1777117278.9497604,298800,-47.72799301147461
1777117315.4276528,302400,-48.77949905395508
1777117351.2402918,306000,-41.993202209472656
1777117387.0142412,309600,-50.29570388793945
1777117423.211786,313200,-46.662994384765625
1777117459.6440575,316800,-43.57310104370117
1777117495.775719,320400,-38.844600677490234
1777117546.264606,324000,-46.237098693847656
1777117582.9873955,327600,-37.21299743652344
1777117619.1817756,331200,-34.06879806518555
1777117654.5719583,334800,-30.323898315429688
1777117690.2999299,338400,-56.37849426269531
1777117725.7887175,342000,-31.72899627685547
1777117761.9148695,345600,-30.11859893798828
1777117798.5683668,349200,-39.43339920043945
1777117834.7114506,352800,-36.22679901123047
1777117870.1590323,356400,-38.692596435546875
1777117905.6316466,360000,-35.443199157714844
1777117941.243012,363600,-36.617401123046875
1777117977.1373518,367200,-45.412498474121094
1777118029.4813614,370800,-39.851200103759766
1777118065.5549638,374400,-41.90409851074219
1777118101.5730884,378000,-36.286800384521484
1777118137.1691382,381600,-39.54199981689453
1777118173.4370837,385200,-33.44439697265625
1777118209.2419288,388800,-35.70339584350586
1777118244.9165852,392400,-38.94739532470703
1777118280.420502,396000,-32.17319869995117
1777118316.6316066,399600,-34.00349807739258
1777118352.2231107,403200,-45.21879959106445
1777118387.5192797,406800,-31.833799362182617
1777118422.8955805,410400,-41.24620056152344
1777118460.2074397,414000,-48.47710418701172
1777118498.556093,417600,-39.513797760009766
1777118535.0229776,421200,-37.508296966552734
1777118570.29075,424800,-30.658897399902344
1777118606.7203784,428400,-35.09700012207031
1777118641.871543,432000,-36.033103942871094
1777118698.8545122,435600,-27.709897994995117
1777118735.0538194,439200,-29.90399932861328
1777118772.4588573,442800,-33.41709899902344
1777118808.9663312,446400,-33.84199905395508
1777118845.350986,450000,-27.677799224853516
1777118885.7011144,453600,-21.312997817993164
1777118916.384176,457200,-35.66329574584961
1777118946.024977,460800,-29.182600021362305
1777118975.3519297,464400,-28.63960075378418
1777119004.693866,468000,-35.43699645996094
1777119034.1051102,471600,-23.661197662353516
1777119063.3723333,475200,-25.863197326660156
1777119092.5410273,478800,-34.75309753417969
1777119121.7928302,482400,-40.38739776611328
1777119151.3084486,486000,-36.44580078125
1777119180.8826964,489600,-33.41999816894531
1777119210.1823993,493200,-32.50969696044922
1777119240.8066392,496800,-25.726701736450195
1777119269.988588,500400,-28.493396759033203
1777119299.4997091,504000,-36.473297119140625
1777119328.8493805,507600,-33.38690185546875
1777119358.5401893,511200,-27.01219940185547
1777119387.7200675,514800,-23.623699188232422
1777119416.9332945,518400,-30.13640022277832
1777119445.9612365,522000,-23.955198287963867
1777119475.0641801,525600,-23.171001434326172
1777119504.0965452,529200,-35.750396728515625
1777119533.6825325,532800,-41.40579605102539
1777119562.7964385,536400,-33.361202239990234
1777119593.126417,540000,-27.694299697875977
1777119624.4621844,543600,-28.352100372314453
1777119654.1668265,547200,-33.604698181152344
1777119683.628558,550800,-29.968799591064453
1777119713.0082083,554400,-20.520599365234375
1777119742.1921659,558000,-21.332401275634766
1777119772.6160417,561600,-24.186399459838867
1777119802.3589852,565200,-27.787797927856445
1777119831.8220963,568800,-26.946001052856445
1777119860.8610966,572400,-19.6476993560791
1777119890.1035192,576000,-23.43280029296875
1777119919.5574925,579600,-25.385299682617188
1777119948.517425,583200,-24.670799255371094
1777119976.8935328,586800,-20.514400482177734
1777120005.7658298,590400,-22.065099716186523
1777120034.4667,594000,-22.036998748779297
1777120063.252935,597600,-22.20949935913086
1777120091.6531076,601200,-15.706299781799316
1777120120.7781177,604800,-19.785900115966797
1777120150.5758908,608400,-13.400400161743164
1777120179.5729115,612000,-22.22920036315918
1777120208.7789207,615600,-20.54469871520996
1777120237.5981503,619200,-15.973199844360352
1777120266.6463683,622800,-19.890501022338867
1777120295.4974947,626400,-19.029399871826172
1777120324.2613766,630000,-24.61939811706543
1777120352.9030466,633600,-26.93269920349121
1777120381.6334987,637200,-23.870098114013672
1777120410.1573873,640800,-15.669499397277832
1777120438.605207,644400,-22.93470001220703
1777120467.2538857,648000,-16.702199935913086
1777120496.2176363,651600,-27.560699462890625
1777120525.076533,655200,-19.08409881591797
1777120553.6538155,658800,-18.41860008239746
1777120582.1709776,662400,-19.077800750732422
1777120610.4971027,666000,-21.17289924621582
1777120639.212379,669600,-17.374902725219727
1777120667.7115054,673200,-22.377599716186523
1777120696.1452155,676800,-23.796297073364258
1777120725.3018916,680400,-23.168399810791016
1777120757.9570594,684000,-19.98670196533203
1777120787.0444624,687600,-19.007198333740234
1777120816.4901934,691200,-19.497499465942383
1777120845.3654323,694800,-24.700801849365234
1777120874.113039,698400,-20.626602172851562
1777120902.689353,702000,-22.23280143737793
1777120946.3185577,705600,-16.685199737548828
1777120975.4925363,709200,-17.396800994873047
1777121004.6076005,712800,-18.31529998779297
1777121035.1680934,716400,-13.603601455688477
1777121065.0686421,720000,-16.42759895324707
1777121094.327422,723600,-10.324700355529785
1777121123.4956634,727200,-19.87860107421875
1777121152.9083257,730800,-16.6781005859375
1777121182.1945033,734400,-19.33639907836914
1777121211.162693,738000,-13.512800216674805
1777121240.1434112,741600,-16.696399688720703
1777121269.322556,745200,-21.57259750366211
1777121298.1031587,748800,-16.693998336791992
1777121327.6475806,752400,-16.054698944091797
1777121356.7623775,756000,-13.21619987487793
1777121385.3108494,759600,-14.946700096130371
1777121414.297319,763200,-15.081598281860352
1777121444.3176484,766800,-11.785600662231445
1777121473.1366746,770400,-20.04269790649414
1777121501.9260044,774000,-13.515399932861328
1777121531.068118,777600,-12.785901069641113
1777121559.8522682,781200,-17.633499145507812
1777121588.571648,784800,-16.644100189208984
1777121617.682983,788400,-17.23870086669922
1777121646.6148703,792000,-17.564199447631836
1777121675.91439,795600,-26.233400344848633
1777121704.9495652,799200,-12.612299919128418
1777121734.2381754,802800,-20.46539878845215
1777121763.737866,806400,-19.87230110168457
1777121792.4615219,810000,-14.435600280761719
1777121821.6837773,813600,-11.890198707580566
1777121850.4052217,817200,-18.18480110168457
1777121879.1240182,820800,-15.15009880065918
1777121909.3097699,824400,-18.27750015258789
1777121939.5224729,828000,-19.152603149414062
1777121968.7278264,831600,-13.729599952697754
1777121997.688959,835200,-14.385997772216797
1777122026.6474571,838800,-18.225101470947266
1777122055.9638739,842400,-14.919699668884277
1777122085.146554,846000,-11.123300552368164
1777122114.317423,849600,-16.9414005279541
1777122144.731651,853200,-15.783199310302734
1777122174.8042018,856800,-15.923999786376953
1777122203.6832135,860400,-19.134201049804688
1777122232.2318137,864000,-11.972500801086426
1777122261.2281508,867600,-15.1628999710083
1777122291.69663,871200,-13.616100311279297
1777122320.9513698,874800,-9.597800254821777
1777122349.751019,878400,-15.101500511169434
1777122378.6365225,882000,-10.250898361206055
1777122407.8043168,885600,-19.049198150634766
1777122436.6955183,889200,-11.108199119567871
1777122465.2650397,892800,-10.263400077819824
1777122494.1555147,896400,-12.73530101776123
1777122522.86933,900000,-14.22350025177002
1777122552.085142,903600,-13.227899551391602
1777122581.046504,907200,-8.830699920654297
1777122610.1672366,910800,-12.662100791931152
1777122638.921001,914400,-13.558899879455566
1777122667.9521387,918000,-9.547200202941895
1777122696.6950986,921600,-10.322700500488281
1777122725.5540314,925200,-11.057100296020508
1777122754.226189,928800,-14.456399917602539
1777122783.2139764,932400,-13.556999206542969
1777122811.9213514,936000,-11.955300331115723
1777122840.856937,939600,-12.024600982666016
1777122869.7121682,943200,-14.24009895324707
1777122900.0668385,946800,-11.964699745178223
1777122933.3188498,950400,-11.95740032196045
1777122963.832573,954000,-13.393598556518555
1777122992.791249,957600,-12.663100242614746
1777123021.7440658,961200,-10.327200889587402
1777123050.563187,964800,-10.345199584960938
1777123079.5719774,968400,-12.847100257873535
1777123108.1150992,972000,-12.749200820922852
1777123137.1542566,975600,-10.378100395202637
1777123165.8241913,979200,-14.333399772644043
1777123194.7156963,982800,-9.557699203491211
1777123223.7266066,986400,-8.72499942779541
1777123252.7947829,990000,-17.58930015563965
1777123281.6327734,993600,-10.323400497436523
1777123310.4628606,997200,-12.073899269104004
1777123339.1304626,1000800,-10.835800170898438
