Wall time,Step,Value
1777346547.1621664,3600,10325.0
1777346569.648746,7200,10311.0
1777346592.2766,10800,10309.0
1777346614.47885,14400,10300.0
1777346636.9810467,18000,10343.0
1777346659.2905521,21600,10268.0
1777346681.3917108,25200,10313.0
1777346704.223155,28800,10336.0
1777346726.498621,32400,10308.0
1777346748.6194234,36000,10309.0
1777346770.8509762,39600,10348.0
1777346792.8067431,43200,10307.0
1777346815.6712477,46800,10308.0
1777346837.6974778,50400,10309.0
1777346859.7987278,54000,10331.0
1777346881.7742138,57600,10368.0
1777346903.899339,61200,10293.0
1777346925.9899712,64800,10231.0
1777346947.9627957,68400,10342.0
1777346969.9720721,72000,10379.0
1777346992.041954,75600,10325.0
1777347014.6681278,79200,10273.0
1777347037.502866,82800,10351.0
1777347059.3899422,86400,10372.0
1777347081.4675546,90000,10330.0
1777347103.337391,93600,10325.0
1777347125.5523503,97200,10357.0
1777347147.6117392,100800,10352.0
1777347169.366773,104400,10362.0
1777347191.337623,108000,10369.0
1777347213.4100752,111600,10347.0
1777347235.3899724,115200,10378.0
1777347257.2878494,118800,10369.0
1777347279.3247423,122400,10286.0
1777347308.8069227,126000,10383.0
1777347331.2188265,129600,10377.0
1777347353.3843894,133200,10357.0
1777347375.7738369,136800,10359.0
1777347397.9258192,140400,10339.0
1777347420.1301334,144000,10363.0
1777347442.4128797,147600,10328.0
1777347464.4636965,151200,10388.0
1777347486.5119972,154800,10328.0
1777347508.585467,158400,10311.0
1777347530.6231759,162000,10336.0
1777347552.641433,165600,10314.0
1777347574.6780145,169200,10350.0
1777347597.0500116,172800,10374.0
1777347619.4335098,176400,10360.0
1777347641.529098,180000,10356.0
1777347663.5279238,183600,10346.0
1777347685.6409004,187200,10386.0
1777347707.6588857,190800,10374.0
1777347730.2591035,194400,10361.0
1777347752.2837873,198000,10323.0
1777347774.4686737,201600,10345.0
1777347796.9298584,205200,10377.0
1777347819.3285365,208800,10364.0
1777347841.3153443,212400,10368.0
1777347863.2884405,216000,10378.0
1777347885.2255263,219600,10374.0
1777347907.1770213,223200,10394.0
1777347929.2770185,226800,10389.0
1777347951.1436253,230400,10379.0
1777347973.2105205,234000,10377.0
1777347995.5297167,237600,10329.0
1777348017.5302546,241200,10375.0
1777348039.6117191,244800,10344.0
1777348061.5422363,248400,10359.0
1777348083.6047268,252000,10382.0
1777348105.9108093,255600,10372.0
1777348128.0212457,259200,10403.0
1777348150.1938016,262800,10393.0
1777348172.3964422,266400,10360.0
1777348194.3385012,270000,10397.0
1777348217.081441,273600,10413.0
1777348239.188379,277200,10367.0
1777348261.2126565,280800,10392.0
1777348283.2870517,284400,10389.0
1777348305.422594,288000,10381.0
1777348327.6747632,291600,10393.0
1777348349.9793792,295200,10412.0
1777348372.0038602,298800,10414.0
1777348394.004122,302400,10375.0
1777348415.9572072,306000,10363.0
1777348438.008922,309600,10392.0
1777348460.2735505,313200,10398.0
1777348482.2937338,316800,10414.0
1777348504.3190162,320400,10423.0
1777348526.628419,324000,10416.0
1777348548.5126395,327600,10410.0
1777348570.4867828,331200,10413.0
1777348592.3183658,334800,10409.0
1777348614.3091412,338400,10376.0
1777348636.2522233,342000,10389.0
1777348658.3039947,345600,10376.0
1777348680.176713,349200,10407.0
1777348702.2347953,352800,10392.0
1777348724.0854597,356400,10408.0
1777348746.1070242,360000,10399.0
1777348768.2426198,363600,10408.0
1777348790.3648214,367200,10390.0
1777348812.550624,370800,10410.0
1777348834.5338056,374400,10401.0
1777348856.7898524,378000,10402.0
1777348878.7055447,381600,10407.0
1777348900.6174576,385200,10421.0
1777348922.6502588,388800,10406.0
1777348944.7804039,392400,10381.0
1777348966.591155,396000,10423.0
1777348988.498375,399600,10414.0
1777349010.5513296,403200,10402.0
1777349032.407275,406800,10402.0
1777349054.3798382,410400,10422.0
1777349076.351286,414000,10402.0
1777349098.34688,417600,10406.0
1777349120.276294,421200,10422.0
1777349142.3195438,424800,10398.0
1777349164.3630185,428400,10416.0
1777349186.3879106,432000,10416.0
1777349208.4683897,435600,10419.0
1777349230.5841436,439200,10422.0
1777349256.231782,442800,10416.0
1777349278.291208,446400,10411.0
1777349300.172401,450000,10411.0
1777349322.087155,453600,10409.0
1777349343.9431229,457200,10421.0
1777349365.838739,460800,10424.0
1777349387.7700126,464400,10392.0
1777349409.7858727,468000,10429.0
1777349431.7657058,471600,10413.0
1777349453.6480165,475200,10406.0
1777349475.743613,478800,10384.0
1777349497.817664,482400,10418.0
1777349519.8424323,486000,10403.0
1777349542.0314157,489600,10411.0
1777349564.1788423,493200,10419.0
1777349586.205525,496800,10426.0
1777349608.3645535,500400,10404.0
1777349630.2530353,504000,10419.0
1777349652.0973766,507600,10431.0
1777349673.9555862,511200,10410.0
1777349695.8651204,514800,10412.0
1777349717.827439,518400,10419.0
1777349739.720032,522000,10434.0
1777349761.455572,525600,10414.0
1777349783.3981357,529200,10413.0
1777349805.2623022,532800,10403.0
1777349827.164542,536400,10420.0
1777349849.2508335,540000,10431.0
1777349885.802512,543600,10437.0
1777349908.4074535,547200,10419.0
1777349930.406014,550800,10406.0
1777349952.5269039,554400,10431.0
1777349974.5201802,558000,10409.0
1777349996.6131258,561600,10441.0
1777350018.6672888,565200,10409.0
1777350040.651025,568800,10428.0
1777350062.9975243,572400,10428.0
1777350084.9975197,576000,10416.0
1777350107.044287,579600,10437.0
1777350129.217889,583200,10435.0
1777350151.2943377,586800,10434.0
1777350173.3300772,590400,10389.0
1777350195.6173835,594000,10401.0
1777350217.6292715,597600,10424.0
1777350239.6842911,601200,10431.0
1777350261.7142086,604800,10432.0
1777350283.5870194,608400,10416.0
1777350305.6764019,612000,10408.0
1777350327.8231387,615600,10427.0
1777350349.7804427,619200,10422.0
1777350372.4263237,622800,10407.0
1777350394.7491937,626400,10411.0
1777350416.6372602,630000,10435.0
1777350438.671066,633600,10410.0
1777350460.6970367,637200,10428.0
1777350482.679951,640800,10426.0
1777350504.7506464,644400,10402.0
1777350526.7523172,648000,10423.0
1777350548.6859887,651600,10415.0
1777350570.6895776,655200,10429.0
1777350592.728442,658800,10423.0
1777350614.935346,662400,10424.0
1777350637.074483,666000,10435.0
1777350658.9806554,669600,10415.0
1777350681.2820537,673200,10423.0
1777350703.293313,676800,10420.0
1777350725.291105,680400,10403.0
1777350747.2151632,684000,10433.0
1777350769.1907048,687600,10422.0
1777350791.040457,691200,10433.0
1777350813.0818164,694800,10421.0
1777350836.449055,698400,10421.0
1777350858.9071577,702000,10417.0
1777350881.7098973,705600,10432.0
1777350904.5321121,709200,10432.0
1777350927.4357285,712800,10423.0
1777350950.1337874,716400,10393.0
1777350973.2888439,720000,10436.0
1777350995.8074527,723600,10414.0
1777351018.6641545,727200,10436.0
1777351041.9587042,730800,10426.0
1777351064.0110824,734400,10418.0
1777351085.967137,738000,10426.0
1777351107.962021,741600,10427.0
1777351129.9348187,745200,10429.0
1777351151.913546,748800,10414.0
1777351173.843734,752400,10437.0
1777351195.713142,756000,10419.0
1777351217.6372278,759600,10421.0
1777351239.5117562,763200,10429.0
1777351261.3906906,766800,10422.0
1777351283.6227224,770400,10430.0
1777351305.6091523,774000,10429.0
1777351327.6964626,777600,10436.0
1777351350.0899777,781200,10433.0
1777351372.1343844,784800,10434.0
1777351394.281411,788400,10423.0
1777351416.4117508,792000,10425.0
1777351438.3239598,795600,10424.0
1777351460.207809,799200,10438.0
1777351482.3040392,802800,10442.0
1777351504.23199,806400,10428.0
1777351526.1719573,810000,10438.0
1777351548.1486964,813600,10417.0
1777351570.1051886,817200,10419.0
1777351592.0905588,820800,10442.0
1777351614.077189,824400,10442.0
1777351636.069994,828000,10425.0
1777351658.0425627,831600,10440.0
1777351679.9998472,835200,10434.0
1777351702.1610093,838800,10438.0
1777351724.1481955,842400,10440.0
1777351746.2236931,846000,10428.0
1777351768.4175134,849600,10428.0
1777351790.3708498,853200,10424.0
1777351812.9980242,856800,10429.0
1777351835.442666,860400,10431.0
1777351857.3475335,864000,10434.0
1777351879.2532628,867600,10403.0
1777351901.1943262,871200,10418.0
1777351923.1971118,874800,10432.0
1777351945.5532076,878400,10433.0
1777351967.4217288,882000,10436.0
1777351989.409001,885600,10425.0
1777352011.2331991,889200,10438.0
1777352033.2618825,892800,10439.0
1777352055.2717333,896400,10425.0
1777352077.4348593,900000,10429.0
1777352099.510512,903600,10433.0
1777352121.6778812,907200,10439.0
1777352143.7396538,910800,10426.0
1777352165.6033442,914400,10435.0
1777352187.6886773,918000,10441.0
1777352209.6362286,921600,10433.0
1777352231.5552773,925200,10429.0
1777352253.5980895,928800,10432.0
1777352275.420539,932400,10435.0
1777352297.7932963,936000,10434.0
1777352319.7190244,939600,10438.0
1777352341.6242595,943200,10431.0
1777352363.6678112,946800,10428.0
1777352385.7416456,950400,10436.0
1777352407.8619804,954000,10428.0
1777352430.1592343,957600,10440.0
1777352452.078078,961200,10440.0
1777352474.0237324,964800,10428.0
1777352496.1453707,968400,10436.0
1777352517.8751626,972000,10436.0
1777352539.7890012,975600,10430.0
1777352561.547135,979200,10430.0
1777352583.3165112,982800,10434.0
1777352605.293202,986400,10435.0
1777352627.0777342,990000,10419.0
1777352648.8635736,993600,10441.0
1777352686.6217768,997200,10428.0
1777352708.8119235,1000800,10429.0
1777352730.6353648,1004400,10437.0
1777352752.6117089,1008000,10420.0
1777352774.6354523,1011600,10432.0
1777352796.6985283,1015200,10426.0
1777352818.627215,1018800,10431.0
1777352840.7308328,1022400,10436.0
1777352862.6813943,1026000,10435.0
1777352884.5500388,1029600,10425.0
1777352906.480577,1033200,10440.0
1777352928.3080816,1036800,10438.0
1777352950.3752983,1040400,10438.0
1777352972.5580912,1044000,10439.0
1777352994.7797048,1047600,10430.0
1777353016.6800585,1051200,10437.0
1777353038.754773,1054800,10443.0
1777353060.6307611,1058400,10433.0
1777353082.6645992,1062000,10435.0
1777353104.6410503,1065600,10433.0
1777353126.6712086,1069200,10439.0
1777353148.7276251,1072800,10438.0
1777353170.5319245,1076400,10434.0
1777353192.453521,1080000,10436.0
1777353214.3871384,1083600,10438.0
1777353236.1832666,1087200,10430.0
1777353258.0673323,1090800,10415.0
1777353280.1886752,1094400,10433.0
1777353301.9603798,1098000,10433.0
1777353323.940068,1101600,10432.0
1777353345.7464676,1105200,10437.0
1777353367.5322266,1108800,10430.0
1777353389.3420227,1112400,10439.0
1777353411.195098,1116000,10434.0
1777353433.0326169,1119600,10440.0
1777353454.9029038,1123200,10435.0
1777353476.9024181,1126800,10436.0
1777353498.8093004,1130400,10436.0
1777353520.6603568,1134000,10431.0
1777353542.5991864,1137600,10432.0
1777353564.60983,1141200,10423.0
1777353586.7413635,1144800,10439.0
1777353608.8910139,1148400,10430.0
1777353630.8423517,1152000,10422.0
1777353666.4719183,1155600,10434.0
1777353688.6226943,1159200,10434.0
1777353710.470599,1162800,10438.0
1777353732.5544453,1166400,10441.0
1777353754.5289845,1170000,10430.0
1777353776.370543,1173600,10425.0
1777353798.5032222,1177200,10433.0
1777353820.8376343,1180800,10435.0
1777353843.052351,1184400,10432.0
1777353865.0804532,1188000,10440.0
1777353887.0966897,1191600,10435.0
1777353918.3102143,1195200,10440.0
1777353940.3045232,1198800,10430.0
1777353962.2496932,1202400,10439.0
1777353984.3224084,1206000,10437.0
1777354006.1030998,1209600,10438.0
1777354027.9789977,1213200,10427.0
1777354049.9500246,1216800,10438.0
1777354071.8318324,1220400,10436.0
1777354093.6790795,1224000,10431.0
1777354115.5256763,1227600,10440.0
1777354137.3328946,1231200,10431.0
1777354159.1713212,1234800,10436.0
1777354181.247186,1238400,10439.0
1777354203.1938624,1242000,10436.0
1777354226.4070957,1245600,10439.0
1777354249.0803177,1249200,10437.0
1777354272.5678337,1252800,10439.0
1777354295.3565998,1256400,10439.0
1777354317.8209462,1260000,10433.0
1777354340.6675613,1263600,10439.0
1777354363.190784,1267200,10444.0
1777354385.9691763,1270800,10440.0
1777354408.46715,1274400,10439.0
1777354431.3918173,1278000,10436.0
1777354454.1491358,1281600,10433.0
1777354476.5275595,1285200,10427.0
1777354498.6788256,1288800,10435.0
1777354522.0926452,1292400,10440.0
1777354544.8219337,1296000,10440.0
1777354567.2033198,1299600,10437.0
1777354589.9658813,1303200,10442.0
1777354612.4741426,1306800,10439.0
1777354635.2079298,1310400,10439.0
1777354657.9105809,1314000,10435.0
1777354680.6988358,1317600,10440.0
1777354703.2229805,1321200,10430.0
1777354725.765003,1324800,10439.0
1777354748.1044366,1328400,10440.0
1777354770.7430167,1332000,10438.0
1777354793.215591,1335600,10437.0
1777354815.9532902,1339200,10435.0
1777354838.3415082,1342800,10437.0
1777354860.7872725,1346400,10434.0
1777354883.4554381,1350000,10434.0
1777354906.251527,1353600,10425.0
1777354928.6522293,1357200,10439.0
1777354951.3675299,1360800,10434.0
1777354974.1672068,1364400,10440.0
1777354997.0559144,1368000,10440.0
1777355019.8414984,1371600,10436.0
1777355042.7094548,1375200,10428.0
1777355065.1324537,1378800,10434.0
1777355087.6424932,1382400,10437.0
1777355110.0658805,1386000,10438.0
1777355132.6034315,1389600,10434.0
1777355154.9064133,1393200,10440.0
1777355177.4862537,1396800,10433.0
1777355199.7882333,1400400,10440.0
1777355222.1614995,1404000,10441.0
1777355244.5584753,1407600,10440.0
1777355267.1657717,1411200,10435.0
1777355289.5519876,1414800,10441.0
1777355312.186236,1418400,10440.0
1777355334.41044,1422000,10436.0
1777355357.119499,1425600,10439.0
1777355379.7930956,1429200,10439.0
1777355402.2168908,1432800,10439.0
1777355424.8953257,1436400,10437.0
1777355447.3285916,1440000,10439.0
1777355469.8291388,1443600,10441.0
1777355492.3333688,1447200,10433.0
1777355514.7157748,1450800,10432.0
1777355537.504344,1454400,10439.0
1777355559.7995555,1458000,10437.0
1777355582.4332757,1461600,10436.0
1777355605.1086245,1465200,10440.0
1777355627.8829467,1468800,10438.0
1777355650.5307205,1472400,10439.0
