Wall time,Step,Value
1777346547.1621664,3600,8.05636664154008e-05
1777346569.648746,7200,9.598396718502045e-05
1777346592.2766,10800,9.531452815281227e-05
1777346614.47885,14400,0.00010259560076519847
1777346636.9810467,18000,0.00010247600584989414
1777346659.2905521,21600,9.711829625302926e-05
1777346681.3917108,25200,0.00010120467050001025
1777346704.223155,28800,9.938184666680172e-05
1777346726.498621,32400,9.653194138081744e-05
1777346748.6194234,36000,9.046062041306868e-05
1777346770.8509762,39600,9.381298877997324e-05
1777346792.8067431,43200,8.962074934970587e-05
1777346815.6712477,46800,8.806739788269624e-05
1777346837.6974778,50400,8.581059228163213e-05
1777346859.7987278,54000,8.371226431336254e-05
1777346881.7742138,57600,8.016869105631486e-05
1777346903.899339,61200,8.296026499010623e-05
1777346925.9899712,64800,8.066670125117525e-05
1777346947.9627957,68400,7.496985199395567e-05
1777346969.9720721,72000,7.409755926346406e-05
1777346992.041954,75600,7.115328480722383e-05
1777347014.6681278,79200,7.232869393192232e-05
1777347037.502866,82800,6.78637734381482e-05
1777347059.3899422,86400,6.212275184225291e-05
1777347081.4675546,90000,6.671313167316839e-05
1777347103.337391,93600,6.232505984371528e-05
1777347125.5513504,97200,6.338063394650817e-05
1777347147.6117392,100800,5.898560266359709e-05
1777347169.366773,104400,6.239192589418963e-05
1777347191.337623,108000,5.763359149568714e-05
1777347213.4100752,111600,5.9587331634247676e-05
1777347235.3899724,115200,6.08997252129484e-05
1777347257.2878494,118800,5.245167631073855e-05
1777347279.3247423,122400,5.4668402299284935e-05
1777347308.8069227,126000,5.502216299646534e-05
1777347331.2188265,129600,5.4961212299531326e-05
1777347353.3843894,133200,5.488961687660776e-05
1777347375.7738369,136800,5.256110671325587e-05
1777347397.9258192,140400,5.1615403208415955e-05
1777347420.1301334,144000,4.823308336199261e-05
1777347442.4128797,147600,5.0650472985580564e-05
1777347464.4636965,151200,5.0853428547270596e-05
1777347486.5119972,154800,4.606660513672978e-05
1777347508.585467,158400,4.845861258218065e-05
1777347530.6231759,162000,4.632108539226465e-05
1777347552.641433,165600,4.3525476939976215e-05
1777347574.6780145,169200,4.83733783767093e-05
1777347597.0500116,172800,4.574378181132488e-05
1777347619.4335098,176400,4.579708547680639e-05
1777347641.529098,180000,4.34068133472465e-05
1777347663.5279238,183600,4.118754077353515e-05
1777347685.6409004,187200,4.212081330479123e-05
1777347707.6588857,190800,4.435089067555964e-05
1777347730.2591035,194400,4.1931205487344414e-05
1777347752.2837873,198000,4.190167965134606e-05
1777347774.4686737,201600,3.955607098760083e-05
1777347796.9298584,205200,4.147475920035504e-05
1777347819.3285365,208800,3.8206057070055977e-05
1777347841.3153443,212400,4.050143252243288e-05
1777347863.2884405,216000,3.9037971873767674e-05
1777347885.2255263,219600,3.952386396122165e-05
1777347907.1770213,223200,3.8141952245496213e-05
1777347929.2770185,226800,3.719808955793269e-05
1777347951.1436253,230400,3.4226093703182414e-05
1777347973.2105205,234000,3.8206497265491635e-05
1777347995.5297167,237600,3.50967857229989e-05
1777348017.529255,241200,3.4667398722376674e-05
1777348039.6117191,244800,3.471233503660187e-05
1777348061.5412364,248400,3.484312765067443e-05
1777348083.6047268,252000,3.323269629618153e-05
1777348105.9108093,255600,3.439830106799491e-05
1777348128.0212457,259200,3.8434900488937274e-05
1777348150.1938016,262800,3.2256710255751386e-05
1777348172.3964422,266400,3.277062569395639e-05
